Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
3,-1,1112.0,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"[2, 4, 1]",2.3333333333333335,1.5555555555555554
3,2,525.0,1,0,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,"[0, 5, 5]",3.3333333333333335,5.555555555555556
4,3,434.0,1,1,0,0,0,2,0.25,0.25,0.0,0.0,0.0,0.5,"[0, 5, 5, 1]",2.75,5.1875
5,4,452.0,1,1,0,0,1,2,0.2,0.2,0.0,0.0,0.2,0.4,"[0, 5, 5, 1, 4]",3.0,4.4
6,5,369.0,1,1,0,1,1,2,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,"[0, 5, 5, 1, 4, 3]",3.0,3.6666666666666665
7,6,302.0,2,1,0,1,1,2,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,"[0, 5, 5, 1, 4, 3, 0]",2.5714285714285716,4.244897959183674
8,7,288.0,2,1,1,1,1,2,0.25,0.125,0.125,0.125,0.125,0.25,"[0, 5, 5, 1, 4, 3, 0, 2]",2.5,3.75
9,8,424.0,3,1,1,1,1,2,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,"[0, 5, 5, 1, 4, 3, 0, 2, 0]",2.2222222222222223,3.9506172839506175
10,9,315.0,4,1,1,1,1,2,0.4,0.1,0.1,0.1,0.1,0.2,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0]",2.0,4.0
11,10,495.0,4,1,2,1,1,2,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2]",2.0,3.6363636363636362
12,11,517.0,4,1,2,1,1,3,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5]",2.25,4.020833333333333
13,12,721.0,4,2,2,1,1,3,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1]",2.1538461538461537,3.8224852071005917
14,13,861.0,4,3,2,1,1,3,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1]",2.0714285714285716,3.637755102040816
15,14,1102.0,4,3,3,1,1,3,0.26666666666666666,0.2,0.2,0.06666666666666667,0.06666666666666667,0.2,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2]",2.066666666666667,3.3955555555555557
16,15,827.0,4,3,4,1,1,3,0.25,0.1875,0.25,0.0625,0.0625,0.1875,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2]",2.0625,3.18359375
17,16,664.0,4,3,4,1,2,3,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.11764705882352941,0.17647058823529413,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4]",2.176470588235294,3.2041522491349483
18,17,583.0,4,3,4,1,2,4,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.2222222222222222,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5]",2.3333333333333335,3.4444444444444446
19,18,655.0,4,3,4,1,2,5,0.21052631578947367,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.2631578947368421,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5]",2.473684210526316,3.617728531855956
20,19,659.0,4,3,4,1,2,6,0.2,0.15,0.2,0.05,0.1,0.3,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5]",2.6,3.7400000000000007
21,20,741.0,4,3,4,1,2,7,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.3333333333333333,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5]",2.7142857142857144,3.823129251700682
22,21,565.0,4,3,4,1,2,8,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.36363636363636365,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5]",2.8181818181818183,3.8760330578512394
23,22,770.0,4,3,4,1,2,9,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.391304347826087,"[0, 5, 5, 1, 4, 3, 0, 2, 0, 0, 2, 5, 1, 1, 2, 2, 4, 5, 5, 5, 5, 5, 5]",2.9130434782608696,3.905482041587902
