Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 2 Failures,Region 3 Failures,Region 4 Failures,Region 5 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region 2 Topological Factor,Region 3 Topological Factor,Region 4 Topological Factor,Region 5 Topological Factor,Region of Failure,Mean of T,Variance of T
5,0.0,-1.0,-1.0,6976.340000000001,4,50.0,100.0,71,50.0,1097.0,1097.0,5879.340000000001,5879.538675006849,0,1,1,2,0,1,0.0,0.2,0.2,0.4,0.0,0.2,"[5, 3, 1, 3, 2]",2.8,1.7600000000000002
6,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,100.0,33,50.0,1022.0,1022.0,5954.340000000001,5954.334099805225,0,2,1,2,0,1,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,"[5, 3, 1, 3, 2, 1]",2.5,1.9166666666666667
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1118.0,1118.0,5858.340000000001,5858.825592428126,0,0,1,1,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"[2, 3, 4]",3.0,0.6666666666666666
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1159.0,1159.0,5817.340000000001,5817.123227237274,0,0,1,0,0,2,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,"[5, 2, 5]",4.0,2.0
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1056.0,1056.0,5920.340000000001,5920.303519290969,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"[4, 1, 2]",2.3333333333333335,1.5555555555555556
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1112.0,1112.0,5864.340000000001,5864.384658133694,1,0,0,0,1,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,"[4, 5, 0]",3.0,4.666666666666667
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1076.0,1076.0,5900.340000000001,5900.315655396646,0,0,1,0,2,0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,"[4, 2, 4]",3.3333333333333335,0.8888888888888888
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1083.0,1083.0,5893.340000000001,5893.041788249387,1,0,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,"[5, 5, 0]",3.3333333333333335,5.555555555555556
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1152.0,1152.0,5824.340000000001,5824.337956568331,0,0,1,1,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"[4, 3, 2]",3.0,0.6666666666666666
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1091.0,1091.0,5885.340000000001,5885.719741291128,1,0,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,"[0, 5, 5]",3.3333333333333335,5.555555555555556
3,200.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,1161.0,1161.0,5815.340000000001,5814.956151685519,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"[4, 2, 1]",2.3333333333333335,1.5555555555555554
4,0.0,-1.0,-1.0,6976.340000000001,-1,50.0,200.0,33,50.0,1046.0,1046.0,5930.340000000001,5930.767798510454,0,2,1,0,1,0,0.0,0.5,0.25,0.0,0.25,0.0,"[4, 2, 1, 1]",2.0,1.5
3,400.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1125.0,1125.0,5851.340000000001,5851.267779765523,0,0,0,1,2,0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,"[3, 4, 4]",3.6666666666666665,0.22222222222222224
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1084.0,1084.0,5892.340000000001,5892.273162486811,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,"[4, 5, 4]",4.333333333333333,0.22222222222222224
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1112.0,1112.0,5864.340000000001,5864.613427392874,0,1,1,0,1,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,"[2, 4, 1]",2.3333333333333335,1.5555555555555554
3,200.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,525.0,525.0,6451.340000000001,6451.025916232355,1,0,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,"[0, 5, 5]",3.3333333333333335,5.555555555555556
4,0.0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,33,50.0,434.0,434.0,6542.340000000001,6542.745650864522,1,1,0,0,0,2,0.25,0.25,0.0,0.0,0.0,0.5,"[0, 5, 5, 1]",2.75,5.1875
5,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,7,50.0,452.0,452.0,6524.340000000001,6524.420890737344,1,1,0,0,1,2,0.2,0.2,0.0,0.0,0.2,0.4,"[0, 5, 5, 1, 4]",3.0,4.4
6,0.0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,107,50.0,369.0,369.0,6607.340000000001,6607.125897241227,1,1,0,1,1,2,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,"[0, 5, 5, 1, 4, 3]",3.0,3.6666666666666665
7,0.0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,119,50.0,302.0,302.0,6674.340000000001,6673.946467008512,2,1,0,1,1,2,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,"[0, 5, 5, 1, 4, 3, 0]",2.5714285714285716,4.244897959183674
