mu_i,var_i,mu_o,var_o
1.5,0.25,3.043478260869565,6.695652173913045
2.0,1.0,3.2674418604651163,7.8604651162790695
2.5,0.25,3.2392638036809815,7.668711656441718
2.5,2.25,3.5555555555555554,9.396825396825397
3.0,0.0,3.3161764705882355,8.014705882352942
3.5,0.25,3.31404958677686,8.148760330578511
3.0,1.0,3.3203125,8.171875
2.0,0.0,3.394736842105263,8.578947368421051
4.0,0.0,3.322222222222222,8.31111111111111
1.0,0.0,2.75,5.25
