Total Line Failures,Steady State,Accumulation of Failed Capacities,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
4,3,410.0,2,2,0.5,0.5,"[1, 0, 1, 0]"
5,4,427.0,3,2,0.6,0.4,"[1, 0, 1, 0, 0]"
6,5,521.0,3,3,0.5,0.5,"[1, 0, 1, 0, 0, 1]"
7,6,546.0,3,4,0.42857142857142855,0.5714285714285714,"[1, 0, 1, 0, 0, 1, 1]"
8,7,448.0,4,4,0.5,0.5,"[1, 0, 1, 0, 0, 1, 1, 0]"
9,8,440.0,4,5,0.4444444444444444,0.5555555555555556,"[1, 0, 1, 0, 0, 1, 1, 0, 1]"
10,9,183.0,5,5,0.5,0.5,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0]"
11,10,251.0,6,5,0.5454545454545454,0.45454545454545453,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]"
12,11,384.0,7,5,0.5833333333333334,0.4166666666666667,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]"
13,12,473.0,8,5,0.6153846153846154,0.38461538461538464,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
14,13,500.0,9,5,0.6428571428571429,0.35714285714285715,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
15,14,522.0,9,6,0.6,0.4,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
16,15,488.0,9,7,0.5625,0.4375,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
17,16,404.0,10,7,0.5882352941176471,0.4117647058823529,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
18,17,678.0,11,7,0.6111111111111112,0.3888888888888889,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
19,18,688.0,11,8,0.5789473684210527,0.42105263157894735,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]"
20,19,571.0,12,8,0.6,0.4,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]"
21,20,622.0,13,8,0.6190476190476191,0.38095238095238093,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
22,21,619.0,13,9,0.5909090909090909,0.4090909090909091,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
23,22,659.0,13,10,0.5652173913043478,0.43478260869565216,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1]"
24,23,666.0,13,11,0.5416666666666666,0.4583333333333333,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]"
25,24,673.0,13,12,0.52,0.48,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
