Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
3,200.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1084.0,1084.0,5892.340000000001,5892.273162486811,2,1,0.6666666666666666,0.3333333333333333,"[0, 1, 0]"
3,100.0,-1.0,-1.0,6976.340000000001,-1,0.0,0.0,0,0.0,1112.0,1112.0,5864.340000000001,5864.613427392874,2,1,0.6666666666666666,0.3333333333333333,"[0, 0, 1]"
3,200.0,-1.0,-1.0,6976.340000000001,2,0.0,0.0,0,0.0,525.0,525.0,6451.340000000001,6451.025916232355,0,3,0.0,1.0,"[1, 1, 1]"
4,0.0,-1.0,-1.0,6976.340000000001,3,50.0,200.0,33,50.0,434.0,434.0,6542.340000000001,6542.745650864522,1,3,0.25,0.75,"[1, 1, 1, 0]"
5,0.0,-1.0,-1.0,6976.340000000001,4,50.0,200.0,7,50.0,452.0,452.0,6524.340000000001,6524.420890737344,2,3,0.4,0.6,"[1, 1, 1, 0, 0]"
6,0.0,-1.0,-1.0,6976.340000000001,5,50.0,200.0,107,50.0,369.0,369.0,6607.340000000001,6607.125897241227,2,4,0.3333333333333333,0.6666666666666666,"[1, 1, 1, 0, 0, 1]"
7,0.0,-1.0,-1.0,6976.340000000001,6,50.0,200.0,119,50.0,302.0,302.0,6674.340000000001,6673.946467008512,2,5,0.2857142857142857,0.7142857142857143,"[1, 1, 1, 0, 0, 1, 1]"
8,0.0,-1.0,-1.0,6976.340000000001,7,50.0,200.0,105,50.0,288.0,288.0,6688.340000000001,6688.790810860323,2,6,0.25,0.75,"[1, 1, 1, 0, 0, 1, 1, 1]"
9,0.0,-1.0,-1.0,6976.340000000001,8,50.0,200.0,116,100.0,424.0,424.0,6552.340000000001,6552.360216917958,2,7,0.2222222222222222,0.7777777777777778,"[1, 1, 1, 0, 0, 1, 1, 1, 1]"
10,0.0,-1.0,-1.0,6976.340000000001,9,50.0,200.0,108,50.0,315.0,315.0,6661.340000000001,6661.289431298589,2,8,0.2,0.8,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
11,0.0,-1.0,-1.0,6976.340000000001,10,50.0,200.0,106,100.0,495.0,495.0,6481.340000000001,6481.387520685272,2,9,0.18181818181818182,0.8181818181818182,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]"
12,0.0,-1.0,-1.0,6976.340000000001,11,50.0,200.0,137,50.0,517.0,517.0,6459.340000000001,6459.67081669157,2,10,0.16666666666666666,0.8333333333333334,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]"
13,0.0,-1.0,-1.0,6976.340000000001,12,50.0,200.0,38,200.0,721.0,721.0,6255.340000000001,6255.603682608279,3,10,0.23076923076923078,0.7692307692307693,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
14,0.0,-1.0,-1.0,6976.340000000001,13,50.0,200.0,31,200.0,861.0,861.0,6115.340000000001,6115.798246570953,4,10,0.2857142857142857,0.7142857142857143,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
15,0.0,-1.0,-1.0,6976.340000000001,14,50.0,200.0,98,50.0,1102.0,1102.0,5874.340000000001,5874.800188862037,4,11,0.26666666666666666,0.7333333333333333,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]"
16,0.0,-1.0,-1.0,6976.340000000001,15,50.0,200.0,99,50.0,827.0,827.0,6149.340000000001,6149.228857129831,4,12,0.25,0.75,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]"
17,0.0,-1.0,-1.0,6976.340000000001,16,50.0,200.0,51,50.0,664.0,664.0,6312.340000000001,6312.285794684313,5,12,0.29411764705882354,0.7058823529411765,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0]"
18,0.0,-1.0,-1.0,6976.340000000001,17,50.0,200.0,136,50.0,583.0,583.0,6393.340000000001,6392.902846956514,5,13,0.2777777777777778,0.7222222222222222,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]"
19,0.0,-1.0,-1.0,6976.340000000001,18,50.0,200.0,144,50.0,655.0,655.0,6321.340000000001,6321.090674358603,5,14,0.2631578947368421,0.7368421052631579,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]"
